Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Inequality-adjusted life expectancy index,Inequality-adjusted education index,Inequality-adjusted income index,Gini coefficient
Afghanistan,0.465,0.319,0.408,0.202,0.396,27.8
Albania,0.733,0.634,0.801,0.561,0.567,29.0
Algeria,0.736,,0.702,,,
Andorra,0.845,,,,,
Angola,0.532,0.335,0.267,0.310,0.453,42.7
Antigua and Barbuda,0.783,,0.794,,,
Argentina,0.836,0.711,0.786,0.759,0.601,43.6
Armenia,0.733,0.658,0.735,0.679,0.572,30.3
Australia,0.935,0.858,0.920,0.914,0.752,34.0
Austria,0.885,0.816,0.909,0.771,0.777,30.0
Azerbaijan,0.751,0.652,0.612,0.645,0.702,33.0
Bahamas,0.790,,0.772,,,
Bahrain,0.824,,0.816,,,
Bangladesh,0.570,0.403,0.634,0.274,0.375,32.1
Barbados,0.785,,0.786,0.734,,
Belarus,0.798,0.741,0.736,0.804,0.690,26.5
Belgium,0.890,0.820,0.899,0.762,0.804,33.1
Belize,0.715,0.553,0.682,0.611,0.406,
Benin,0.480,0.300,0.384,0.230,0.306,43.5
Bhutan,0.605,0.425,0.593,0.249,0.519,38.7
Bolivia (Plurinational State of),0.662,0.472,0.561,0.480,0.391,46.6
Bosnia and Herzegovina,0.733,0.635,0.811,0.573,0.551,33.0
Botswana,0.698,0.431,0.535,0.437,0.344,60.5
Brazil,0.755,0.557,0.717,0.518,0.465,52.7
Brunei Darussalam,0.856,,0.865,,,
Bulgaria,0.782,0.699,0.768,0.710,0.627,34.3
Burkina Faso,0.402,0.261,0.351,0.161,0.317,39.8
Burundi,0.400,0.269,0.318,0.234,0.263,33.3
Cabo Verde,0.646,0.519,0.722,0.433,0.447,43.8
Cambodia,0.555,0.418,0.557,0.321,0.407,31.8
Cameroon,0.512,0.344,0.331,0.318,0.387,40.7
Canada,0.913,0.832,0.910,0.841,0.754,33.7
Central African Republic,0.350,0.198,0.256,0.224,0.135,56.3
Chad,0.392,0.236,0.262,0.157,0.318,43.3
Chile,0.832,0.672,0.893,0.655,0.519,50.8
China,0.727,,0.774,,0.514,37.0
Colombia,0.720,0.542,0.718,0.489,0.453,53.5
Comoros,0.503,0.268,0.438,0.248,0.178,64.3
Congo,0.591,0.434,0.417,0.402,0.488,40.2
Congo (Democratic Republic of the),0.433,0.276,0.298,0.341,0.208,44.4
Costa Rica,0.766,0.613,0.847,0.561,0.486,48.6
Cote d'Ivoire,0.462,0.287,0.290,0.214,0.379,43.2
Croatia,0.818,0.743,0.836,0.745,0.659,33.6
Cuba,0.769,,0.867,0.681,,
Cyprus,0.850,0.758,0.892,0.673,0.727,
Czech Republic,0.870,0.823,0.868,0.854,0.751,26.4
Denmark,0.923,0.856,0.889,0.897,0.787,26.9
Djibouti,0.470,0.308,0.436,0.162,0.413,40.0
Dominica,0.724,,,,,
Dominican Republic,0.715,0.546,0.684,0.474,0.503,45.7
Ecuador,0.732,0.570,0.745,0.510,0.487,46.6
Egypt,0.690,0.524,0.681,0.351,0.604,30.8
El Salvador,0.666,0.488,0.697,0.389,0.428,41.8
Equatorial Guinea,0.587,,0.322,,,
Eritrea,0.391,,0.506,,,
Estonia,0.861,0.782,0.825,0.853,0.680,32.7
Ethiopia,0.442,0.312,0.474,0.176,0.363,33.6
Fiji,0.727,0.616,0.675,0.686,0.505,42.8
Finland,0.883,0.834,0.902,0.800,0.803,27.8
France,0.888,0.811,0.919,0.751,0.772,31.7
Gabon,0.684,0.519,0.492,0.465,0.613,42.2
Gambia,0.441,,0.403,,0.299,47.3
Georgia,0.754,0.652,0.736,0.761,0.494,41.4
Germany,0.916,0.853,0.902,0.871,0.790,30.6
Ghana,0.579,0.387,0.441,0.350,0.377,42.8
Greece,0.865,0.758,0.899,0.735,0.660,34.7
Grenada,0.750,,0.753,,,
Guatemala,0.627,0.443,0.658,0.308,0.429,52.4
Guinea,0.411,0.261,0.356,0.167,0.300,33.7
Guinea-Bissau,0.420,0.254,0.296,0.206,0.267,35.5
Guyana,0.636,0.520,0.577,0.511,0.477,
Haiti,0.483,0.296,0.475,0.249,0.219,59.2
Honduras,0.606,0.412,0.678,0.361,0.285,57.4
"Hong Kong, China (SAR)",0.910,,0.957,,,
Hungary,0.828,0.769,0.803,0.789,0.717,28.9
Iceland,0.899,0.846,0.936,0.832,0.777,26.3
India,0.609,0.435,0.554,0.292,0.508,33.6
Indonesia,0.684,0.559,0.629,0.486,0.573,38.1
Iran (Islamic Republic of),0.766,0.509,0.746,0.433,0.407,38.3
Iraq,0.654,0.512,0.626,0.342,0.626,29.5
Ireland,0.916,0.836,0.902,0.858,0.756,32.1
Israel,0.894,0.775,0.923,0.776,0.649,42.8
Italy,0.873,0.773,0.938,0.700,0.702,35.5
Jamaica,0.719,0.593,0.729,0.628,0.454,45.5
Japan,0.891,0.780,0.945,0.649,0.773,32.1
Jordan,0.748,0.625,0.732,0.586,0.568,33.7
Kazakhstan,0.788,0.694,0.633,0.751,0.704,28.6
Kenya,0.548,0.377,0.439,0.380,0.321,47.7
Kiribati,0.590,0.405,0.562,0.474,0.249,
Korea (Democratic People's Rep. of),,,0.655,,,
Korea (Republic of),0.898,0.751,0.915,0.644,0.718,
Kuwait,0.816,,0.776,,,
Kyrgyzstan,0.655,0.560,0.623,0.665,0.424,33.4
Lao People's Democratic Republic,0.575,0.428,0.558,0.304,0.463,36.2
Latvia,0.819,0.730,0.771,0.778,0.649,36.0
Lebanon,0.769,0.609,0.852,0.491,0.540,
Lesotho,0.497,0.320,0.305,0.383,0.280,54.2
Liberia,0.430,0.280,0.421,0.215,0.243,38.2
Libya,0.724,,0.714,,,
Liechtenstein,0.908,,,,,
Lithuania,0.839,0.754,0.766,0.817,0.686,32.6
Luxembourg,0.892,0.822,0.918,0.729,0.829,
Madagascar,0.510,0.372,0.522,0.318,0.311,40.6
Malawi,0.445,0.299,0.395,0.308,0.220,46.2
Malaysia,0.779,,0.800,,,46.2
Maldives,0.706,0.531,0.803,0.333,0.559,37.4
Mali,0.419,0.270,0.318,0.176,0.350,33.0
Malta,0.839,0.767,0.888,0.690,0.737,
Marshall Islands,,,,,,
Mauritania,0.506,0.337,0.420,0.214,0.425,40.5
Mauritius,0.777,0.666,0.760,0.623,0.625,35.9
Mexico,0.756,0.587,0.778,0.518,0.501,48.1
Micronesia (Federated States of),0.640,,0.606,,,61.1
Moldova (Republic of),0.693,0.618,0.707,0.651,0.514,30.6
Monaco,,,,,,
Mongolia,0.727,0.633,0.634,0.647,0.619,36.5
Montenegro,0.802,0.728,0.799,0.735,0.658,30.6
Morocco,0.628,0.441,0.692,0.253,0.492,40.9
Mozambique,0.416,0.273,0.323,0.242,0.262,45.7
Myanmar,0.536,,0.515,0.303,,
Namibia,0.628,0.354,0.539,0.377,0.217,61.3
Nauru,,,,,,
Nepal,0.548,0.401,0.602,0.266,0.403,32.8
Netherlands,0.922,0.861,0.911,0.858,0.817,28.9
New Zealand,0.913,,0.905,,,
Nicaragua,0.631,0.480,0.733,0.366,0.411,45.7
Niger,0.348,0.246,0.396,0.129,0.292,31.2
Nigeria,0.514,0.320,0.299,0.254,0.430,43.0
Norway,0.944,0.893,0.916,0.886,0.878,26.8
Oman,0.793,,0.813,,,
Pakistan,0.538,0.377,0.498,0.208,0.519,29.6
Palau,0.780,,,0.696,0.570,
"Palestine, State of",0.677,0.577,0.707,0.549,0.494,34.5
Panama,0.780,0.604,0.779,0.567,0.499,51.9
Papua New Guinea,0.505,,0.481,0.360,,
Paraguay,0.679,0.529,0.657,0.492,0.458,48.0
Peru,0.734,0.563,0.723,0.509,0.484,45.3
Philippines,0.668,0.547,0.629,0.539,0.483,43.0
Poland,0.843,0.760,0.833,0.778,0.678,32.8
Portugal,0.830,0.744,0.900,0.685,0.668,
Qatar,0.850,,0.841,,,
Romania,0.793,0.711,0.768,0.719,0.651,27.3
Russian Federation,0.798,0.714,0.695,0.788,0.664,39.7
Rwanda,0.483,0.330,0.475,0.289,0.262,50.8
Saint Kitts and Nevis,0.752,,,,,
Saint Lucia,0.729,0.613,0.764,0.600,0.502,
Saint Vincent and the Grenadines,0.720,,0.708,,,
Samoa,0.702,,0.713,,,
San Marino,,,,,,
Sao Tome and Principe,0.555,0.418,0.523,0.368,0.378,33.9
Saudi Arabia,0.837,,0.762,,,
Senegal,0.466,0.305,0.504,0.168,0.337,40.3
Serbia,0.771,0.693,0.773,0.688,0.627,29.7
Seychelles,0.772,,0.752,,,65.8
Sierra Leone,0.413,0.241,0.232,0.171,0.351,35.4
Singapore,0.912,,0.942,,,
Slovakia,0.844,0.791,0.818,0.813,0.744,26.6
Slovenia,0.880,0.829,0.894,0.840,0.757,24.9
Solomon Islands,0.506,0.385,0.573,0.328,0.304,
Somalia,,,0.316,,,
South Africa,0.666,0.428,0.427,0.594,0.310,65.0
South Sudan,0.467,,0.325,0.235,,
Spain,0.876,0.775,0.926,0.759,0.663,35.8
Sri Lanka,0.757,0.669,0.774,0.646,0.597,36.4
Sudan,0.479,,0.450,0.171,,35.3
Suriname,0.714,0.543,0.680,0.492,0.478,
Swaziland,0.531,0.354,0.290,0.404,0.379,51.5
Sweden,0.907,0.846,0.927,0.813,0.804,26.1
Switzerland,0.930,0.861,0.931,0.816,0.839,32.4
Syrian Arab Republic,0.594,0.468,0.667,0.376,0.408,35.8
Tajikistan,0.624,0.515,0.537,0.615,0.414,30.8
Tanzania (United Republic of),0.521,0.379,0.482,0.304,0.372,37.8
Thailand,0.726,0.576,0.755,0.519,0.488,39.4
The former Yugoslav Republic of Macedonia,0.747,0.622,0.788,0.608,0.504,44.2
Timor-Leste,0.595,0.412,0.572,0.247,0.494,30.4
Togo,0.484,0.322,0.386,0.299,0.290,46.0
Tonga,0.717,,0.701,,,
Trinidad and Tobago,0.772,0.654,0.648,0.659,0.656,
Tunisia,0.721,0.562,0.753,0.415,0.569,35.8
Turkey,0.761,0.641,0.757,0.563,0.618,40.0
Turkmenistan,0.688,,0.519,,,
Tuvalu,,,,,,
Uganda,0.483,0.337,0.392,0.319,0.305,44.6
Ukraine,0.747,0.689,0.703,0.770,0.604,24.8
United Arab Emirates,0.835,,0.829,,,
United Kingdom,0.907,0.829,0.892,0.860,0.742,38.0
United States,0.915,0.760,0.853,0.842,0.610,41.1
Uruguay,0.793,0.678,0.799,0.647,0.602,41.3
Uzbekistan,0.675,0.569,0.563,0.672,0.485,35.2
Vanuatu,0.594,0.492,0.675,0.430,0.410,
Venezuela (Bolivarian Republic of),0.762,0.612,0.732,0.570,0.550,44.8
Viet Nam,0.666,0.549,0.755,0.474,0.463,35.6
Yemen,0.498,0.329,0.469,0.177,0.427,35.9
Zambia,0.586,0.384,0.387,0.466,0.314,57.5
Zimbabwe,0.509,0.371,0.422,0.449,0.270,
,,,,,,
