Reference Area,Time Period,Sex,Value
Antigua and Barbuda,2010,Female,47.90698
Antigua and Barbuda,2010,Male,49.09091
Antigua and Barbuda,2010,Total,48.30769
Antigua and Barbuda,2009,Female,43.58974
Antigua and Barbuda,2009,Male,48.54369
Antigua and Barbuda,2009,Total,45.30201
Antigua and Barbuda,2007,Female,68.04734
Antigua and Barbuda,2007,Male,63.75839
Antigua and Barbuda,2007,Total,66.73511
Antigua and Barbuda,2000,Female,61.90476
Antigua and Barbuda,2000,Male,62.16216
Antigua and Barbuda,2000,Total,61.98347
Bahamas,2010,Total,89.00293
Bahamas,2009,Female,89.68186
Bahamas,2009,Male,85.12397
Bahamas,2009,Total,88.34244
Bahamas,2008,Female,88.32952
Bahamas,2008,Male,88.46154
Bahamas,2008,Total,88.37025
Bahamas,2007,Female,89.76641
Bahamas,2007,Male,79.9511
Bahamas,2007,Total,86.69725
Bahamas,2006,Female,89.94253
Bahamas,2006,Male,91.71598
Bahamas,2006,Total,90.68994
Bahamas,2005,Female,91.939
Bahamas,2005,Male,90.40767
Bahamas,2005,Total,91.46067
Bahamas,2002,Female,99.44444
Bahamas,2002,Male,94.13265
Bahamas,2002,Total,97.57194
Bahrain,2015,Female,85.60633
Bahrain,2015,Male,81.16407
Bahrain,2015,Total,83.65249
Bahrain,2014,Female,85.65751
Bahrain,2014,Male,81.20019
Bahrain,2014,Total,83.71761
Bahrain,2013,Female,85.19202
Bahrain,2013,Male,81.27074
Bahrain,2013,Total,83.47519
Bahrain,2012,Female,84.38061
Bahrain,2012,Male,80.69745
Bahrain,2012,Total,82.82514
Bahrain,2011,Female,83.13878
Bahrain,2011,Male,80.40506
Bahrain,2011,Total,81.87966
Bangladesh,2013,Female,54.13556
Bangladesh,2013,Male,56.76067
Bangladesh,2013,Total,56.1869
Bangladesh,2012,Female,56.68385
Bangladesh,2012,Male,58.18356
Bangladesh,2012,Total,57.85578
Bangladesh,2011,Female,40.75566
Bangladesh,2011,Male,48.44604
Bangladesh,2011,Total,46.80847
Bangladesh,2010,Total,40.6939
Bangladesh,2009,Female,37.65379
Bangladesh,2009,Male,42.70781
Bangladesh,2009,Total,41.71851
Bangladesh,2008,Female,38.35946
Bangladesh,2008,Male,42.88655
Bangladesh,2008,Total,42.00107
Bangladesh,2007,Female,26.46097
Bangladesh,2007,Male,34.58571
Bangladesh,2007,Total,32.95514
Bangladesh,2004,Female,27.56014
Bangladesh,2004,Male,25.17828
Bangladesh,2004,Total,25.62946
Bangladesh,2003,Female,24.67358
Bangladesh,2003,Male,25.3717
Bangladesh,2003,Total,25.25426
Bangladesh,2002,Female,24.55794
Bangladesh,2002,Male,20.72992
Bangladesh,2002,Total,21.30687
Bangladesh,2001,Female,22.51
Bangladesh,2001,Male,20.52208
Bangladesh,2001,Total,20.8274
Bangladesh,2000,Female,30.31903
Bangladesh,2000,Male,21.16596
Bangladesh,2000,Total,22.40781
Belarus,2015,Female,92.23427
Belarus,2015,Male,88.9664
Belarus,2015,Total,91.46547
Belarus,2014,Female,91.95834
Belarus,2014,Male,88.518
Belarus,2014,Total,91.1499
Belarus,2013,Female,90.95771
Belarus,2013,Male,86.95989
Belarus,2013,Total,90.00259
Belize,2015,Female,45
Belize,2015,Male,32.03125
Belize,2015,Total,39.61039
Belize,2014,Female,41.61677
Belize,2014,Male,28.91566
Belize,2014,Total,36.19211
Belize,2013,Female,33.63363
Belize,2013,Male,21.92308
Belize,2013,Total,28.49916
Belize,2012,Female,36.44578
Belize,2012,Male,23.71542
Belize,2012,Total,30.94017
Belize,2011,Female,22
Belize,2011,Male,14.95726
Belize,2011,Total,18.91386
Belize,2010,Female,39.64912
Belize,2010,Male,27.87611
Belize,2010,Total,34.44227
Belize,2009,Female,34.42029
Belize,2009,Male,24.26778
Belize,2009,Total,29.70874
Belize,2008,Female,37.90614
Belize,2008,Male,21.36752
Belize,2008,Total,30.33268
Belize,2007,Female,34.85342
Belize,2007,Male,29.52381
Belize,2007,Total,32.68859
Belize,2006,Female,41.17647
Belize,2006,Male,26.66667
Belize,2006,Total,34.14141
Belize,2004,Female,53.2
Belize,2004,Male,25
Belize,2004,Total,43.07692
Belize,2003,Female,43.00518
Belize,2003,Male,37.14286
Belize,2003,Total,40.9396
Belize,2001,Female,42.46575
Belize,2001,Male,37.97468
Belize,2001,Total,40.88889
Belize,2000,Female,54.81481
Belize,2000,Male,54.54545
Belize,2000,Total,54.71698
Benin,2000,Female,37.26415
Benin,2000,Male,32.59288
Benin,2000,Total,33.24547
Bermuda,2014,Female,100
Bermuda,2014,Male,100
Bermuda,2014,Total,100
Bermuda,2013,Female,71.5415
Bermuda,2013,Male,77.95276
Bermuda,2013,Total,73.68421
Bermuda,2012,Female,100
Bermuda,2012,Male,100
Bermuda,2012,Total,100
Bermuda,2011,Female,100
Bermuda,2011,Male,100
Bermuda,2011,Total,100
Bermuda,2006,Female,100
Bermuda,2006,Male,100
Bermuda,2006,Total,100
Bermuda,2005,Female,100
Bermuda,2005,Male,100
Bermuda,2005,Total,100
Bermuda,2004,Female,100
Bermuda,2004,Male,100
Bermuda,2004,Total,100
Bermuda,2003,Female,100
Bermuda,2003,Male,100
Bermuda,2003,Total,100
Bermuda,2002,Female,100
Bermuda,2002,Male,100
Bermuda,2002,Total,100
Bermuda,2001,Female,100
Bermuda,2001,Male,100
Bermuda,2001,Total,100
Bhutan,2008,Total,72.1564
British Virgin Islands,2003,Female,75
British Virgin Islands,2003,Male,66.66667
British Virgin Islands,2003,Total,72.05882
Brunei Darussalam,2015,Female,90.81515
Brunei Darussalam,2015,Male,88.70482
Brunei Darussalam,2015,Total,90.10403
Brunei Darussalam,2014,Female,91.07981
Brunei Darussalam,2014,Male,89.12564
Brunei Darussalam,2014,Total,90.40082
Burkina Faso,2009,Female,55.14316
Burkina Faso,2009,Male,49.41715
Burkina Faso,2009,Total,50.35671
Burundi,2015,Female,100
Burundi,2015,Male,100
Burundi,2015,Total,100
Burundi,2014,Female,75.07724
Burundi,2014,Male,75.01823
Burundi,2014,Total,75.02949
Cabo Verde,2014,Female,100
Cabo Verde,2014,Male,100
Cabo Verde,2014,Total,100
Cabo Verde,2012,Female,100
Cabo Verde,2012,Male,100
Cabo Verde,2012,Total,100
Cabo Verde,2011,Female,100
Cabo Verde,2011,Male,100
Cabo Verde,2011,Total,100
Cabo Verde,2010,Female,100
Cabo Verde,2010,Male,100
Cabo Verde,2010,Total,100
Cabo Verde,2009,Female,100
Cabo Verde,2009,Male,100
Cabo Verde,2009,Total,100
Cabo Verde,2008,Female,100
Cabo Verde,2008,Male,100
Cabo Verde,2008,Total,100
Cabo Verde,2007,Female,100
Cabo Verde,2007,Male,100
Cabo Verde,2007,Total,100
Cabo Verde,2005,Female,100
Cabo Verde,2005,Male,100
Cabo Verde,2005,Total,100
Cabo Verde,2004,Female,100
Cabo Verde,2004,Male,100
Cabo Verde,2004,Total,100
Cabo Verde,2003,Female,100
Cabo Verde,2003,Male,100
Cabo Verde,2003,Total,100
Cabo Verde,2002,Female,100
Cabo Verde,2002,Male,100
Cabo Verde,2002,Total,100
Cambodia,2007,Female,100
Cambodia,2007,Male,99.69944
Cambodia,2007,Total,99.78189
Cambodia,2006,Total,98.42501
Cambodia,2002,Total,97.0288
Cambodia,2001,Total,99.07095
Cameroon,2015,Female,67.75024
Cameroon,2015,Male,50.75491
Cameroon,2015,Total,57.02729
Cameroon,2013,Female,79.7578
Cameroon,2013,Male,65.00521
Cameroon,2013,Total,70.65109
Cayman Islands,2012,Female,99.09091
Cayman Islands,2012,Male,99.0566
Cayman Islands,2012,Total,99.07975
Cayman Islands,2011,Female,100
Cayman Islands,2011,Male,100
Cayman Islands,2011,Total,100
Cayman Islands,2006,Female,100
Cayman Islands,2006,Male,98.7013
Cayman Islands,2006,Total,99.42857
Cayman Islands,2005,Female,100
Cayman Islands,2005,Male,100
Cayman Islands,2005,Total,100
Cayman Islands,2004,Female,100
Cayman Islands,2004,Male,100
Cayman Islands,2004,Total,100
Cayman Islands,2001,Female,100
Cayman Islands,2001,Male,100
Cayman Islands,2001,Total,100
Cayman Islands,2000,Female,100
Cayman Islands,2000,Male,100
Cayman Islands,2000,Total,100
"China, Macao Special Administrative Region",2015,Female,88.39506
"China, Macao Special Administrative Region",2015,Male,86.17886
"China, Macao Special Administrative Region",2015,Total,87.4386
"China, Macao Special Administrative Region",2014,Female,85.42714
"China, Macao Special Administrative Region",2014,Male,80.4878
"China, Macao Special Administrative Region",2014,Total,83.27427
"China, Macao Special Administrative Region",2013,Female,82.97604
